Zipcode,Latitude,Longitude
2565,48.0036,16.0838
2571,48.0296,15.9872
2572,48.0407,15.8861
2601,47.8851,16.2647
2602,47.9221,16.3027
2603,47.8829,16.2402
2604,47.8606,16.2471
2620,47.7114,16.1043
2624,47.7536,16.1369
2625,47.7342,16.1765
2630,47.7135,16.0082
2631,47.7417,15.9551
2632,47.6766,16.0105
2640,47.6712,15.9425
2641,47.6495,15.8653
2642,47.6285,15.8604
2650,47.6891,15.8708
2651,47.7065,15.7911
2654,47.6941,15.6962
2661,47.7491,15.6859
2662,47.8166,15.7134
2663,47.8845,15.7211
2671,47.6766,15.8781
2673,47.6519,15.7816
2680,47.6376,15.8062
2700,47.7985,16.2299
2721,47.8309,16.162
2722,47.7998,16.1587
2723,47.8366,16.1095
2724,47.8276,16.052
2731,47.7836,16.1084
2732,47.7863,16.0416
2733,47.7882,15.9867
2734,47.7787,15.8795
2751,47.8816,16.1908
2752,47.8583,16.1734
2753,47.8644,16.1132
2754,47.8698,16.0455
2755,47.8836,16.033
2761,47.8492,15.9574
2763,47.9074,15.9396
2770,47.8533,15.8517
2801,47.7666,16.2761
2802,47.6712,16.2925
2803,47.6427,16.3449
2811,47.6072,16.2969
2812,47.5788,16.2651
2813,47.591,16.2069
2821,47.7323,16.2667
2822,47.7162,16.2284
2823,47.7066,16.1954
2824,47.6958,16.1509
2831,47.6549,16.1085
2832,47.6621,16.1746
2833,47.6596,16.2266
2840,47.6238,16.1101
2842,47.5829,16.1547
2851,47.5137,16.1951
2852,47.4484,16.195
2853,47.4864,16.2469
2860,47.5034,16.296
2870,47.5553,16.0266
2871,47.5039,16.1394
2872,47.5051,16.0227
2873,47.5993,16.057
2880,47.5992,15.9739
2881,47.5924,15.8805
3001,48.2544,16.1642
3002,48.1956,16.1791
3003,48.235,16.1275
3004,48.2597,16.0779
3011,48.2088,16.111
3012,48.1525,16.1163
3013,48.1798,16.1064
3021,48.1726,16.0676
3031,48.1869,16.0221
3032,48.1707,15.9852
3033,48.145,15.9616
3034,48.1947,15.9543
3040,48.2084,15.897
3041,48.2323,15.9308
3042,48.2524,15.8531
3051,48.164,15.8504
3052,48.1362,15.8844
3053,48.1004,15.8886
3061,48.1996,15.8554
3062,48.1951,15.8206
3071,48.1807,15.7583
3072,48.156,15.7916
3073,48.1181,15.7997
3074,48.1042,15.7625
3100,48.1848,15.6121
3104,48.1691,15.6528
3105,48.2466,15.6762
3107,48.233,15.6354
3110,48.2341,15.5483
3121,48.2602,15.5374
3122,48.3031,15.4852
3123,48.2704,15.6254
3124,48.3193,15.5705
3125,48.3065,15.636
3130,48.2935,15.7023
3131,48.3168,15.6846
3133,48.3502,15.7687
3134,48.348,15.6992
3140,48.2383,15.7158
3141,48.2526,15.7659
3142,48.2572,15.8035
3143,48.1568,15.7039
3144,48.1161,15.7014
3150,48.0966,15.6183
3151,48.1385,15.6099
3153,48.0407,15.5548
3160,48.0493,15.6111
3161,48.0275,15.6642
3162,48.041,15.714
3163,48.0615,15.7526
3170,48.0447,15.7967
3171,47.9581,15.7273
3172,47.9778,15.826
3180,47.9871,15.528
3183,47.9571,15.5732
3184,47.9123,15.4782
3192,47.914,15.6118
3193,47.8458,15.5512
3195,47.8102,15.4847
3200,48.1504,15.5541
3202,48.0846,15.4978
3203,48.0472,15.4748
3204,48.0074,15.4666
3205,48.1143,15.5231
3211,47.9837,15.4064
3212,47.9296,15.3726
3213,47.9807,15.3257
3214,47.9151,15.2817
3221,47.8884,15.2743
3222,47.8599,15.3857
3223,47.8721,15.298
3224,47.8314,15.2596
3231,48.1563,15.4928
3232,48.1246,15.4653
3233,48.0833,15.3963
3240,48.1177,15.3454
3241,48.0719,15.3155
3242,48.0305,15.3102
3243,48.1335,15.3023
3244,48.1242,15.2409
3250,48.1165,15.1169
3251,48.0516,15.1335
3252,48.1441,15.1566
3253,48.1812,15.1842
3254,48.1517,15.1889
3261,48.073,15.0487
3262,48.0449,15.0048
3263,48.008,14.9515
3264,47.9724,15.0376
3270,47.9968,15.1607
3281,48.0737,15.235
3282,48.021,15.2245
3283,47.9535,15.2113
3291,47.9447,15.1231
3292,47.9254,15.0967
3293,47.852,15.0235
3294,47.8127,15.1579
3295,47.8924,15.1604
3300,48.1125,14.8667
3304,48.1309,14.9491
3311,48.1352,14.7904
3312,48.1278,14.7529
3313,48.1457,14.7193
3314,48.1521,14.6485
3321,48.174,14.8334
3322,48.1473,14.8948
3323,48.1958,14.9279
3324,48.0712,14.9426
3325,48.0936,14.9813
3331,48.0347,14.7606
3332,48.005,14.7391
3333,47.9897,14.7422
3334,47.8936,14.7249
3335,47.8527,14.6424
3340,47.951,14.7416
3341,47.9231,14.9163
3342,47.8763,14.8119
3343,47.7988,14.8009
3344,47.8417,14.8931
3345,47.7776,14.9552
3350,48.11,14.581
3351,48.0455,14.5685
3352,48.0326,14.6067
3353,48.0141,14.6705
3354,48.0844,14.6625
3355,47.9701,14.6319
3361,48.08,14.7379
3362,48.0856,14.7954
3363,48.0731,14.8188
3364,48.0499,14.8523
3365,48.032,14.8062
3370,48.1723,15.0681
3371,48.1272,15.0527
3372,48.141,14.9897
3373,48.1498,15.0868
3374,48.1864,15.1278
3375,48.2009,15.1523
3376,48.1657,15.0217
3380,48.201,15.2234
3381,48.196,15.174
3382,48.2017,15.3911
3383,48.1604,15.4051
3384,48.1905,15.4606
3385,48.1934,15.5253
3386,48.229,15.4761
3390,48.211,15.3214
3392,48.2566,15.4004
3393,48.1831,15.2558
3400,48.289,16.2811
3413,48.29,16.2031
3420,48.3353,16.2961
3421,48.3477,16.2749
3422,48.3409,16.2365
3423,48.3375,16.2023
3424,48.3246,16.1756
3425,48.3356,16.0981
3426,48.3322,16.1505
3430,48.3271,16.0573
3433,48.2974,16.1547
3434,48.2793,16.1114
3435,48.3439,15.9081
3441,48.2742,15.9865
3442,48.317,16.0004
3443,48.2358,16.02
3451,48.2874,15.9436
3452,48.297,15.8792
3454,48.331,15.8347
3462,48.3862,15.9503
3463,48.4035,16.0231
3464,48.3922,16.0964
3465,48.4214,15.9279
3470,48.4473,15.8946
3471,48.4785,15.8639
3472,48.5048,15.8281
3473,48.5135,15.7791
3474,48.3894,15.8722
3481,48.4471,15.8287
3482,48.4749,15.8122
3483,48.4503,15.7874
3484,48.403,15.7882
3485,48.4154,15.7304
3491,48.5008,15.7436
3492,48.4572,15.7495
3493,48.4636,15.7193
3494,48.4128,15.6906
3495,48.4279,15.6579
3500,48.4165,15.5836
3506,48.3846,15.6937
3508,48.3508,15.61
3511,48.3805,15.6118
3512,48.3679,15.553
3521,48.4612,15.4351
3522,48.502,15.3802
3524,48.4934,15.3037
3525,48.4631,15.2184
3531,48.5491,15.2881
3532,48.5723,15.3685
3533,48.5842,15.2718
3541,48.4564,15.5294
3542,48.5265,15.4834
3543,48.5859,15.4414
3544,48.5865,15.4849
3550,48.4766,15.6627
3552,48.473,15.5799
3553,48.5285,15.61
3561,48.4918,15.6939
3562,48.5363,15.6704
3564,48.561,15.6991
3571,48.5851,15.6644
3572,48.5919,15.55
3573,48.6226,15.6109
3580,48.6639,15.663
3591,48.6448,15.5755
3592,48.6614,15.5008
3593,48.6396,15.4654
3594,48.6177,15.3672
3595,48.7005,15.4846
3601,48.4067,15.524
3602,48.3819,15.4951
3610,48.4051,15.4502
3611,48.41,15.4014
3613,48.4523,15.3613
3620,48.3583,15.3822
3621,48.3522,15.4387
3622,48.3824,15.3308
3623,48.42,15.2986
3631,48.4044,15.2151
3632,48.4411,15.1135
3633,48.4356,15.014
3641,48.3017,15.3885
3642,48.2849,15.4206
3643,48.303,15.3384
3644,48.2521,15.3263
3650,48.3181,15.1921
3652,48.242,15.2601
3653,48.2958,15.257
3654,48.349,15.2778
3660,48.2229,15.2219
3661,48.2576,15.2019
3662,48.2775,15.1181
3663,48.3279,15.1136
3664,48.3802,15.1625
3665,48.3822,15.033
3671,48.2265,15.1232
3672,48.2343,15.1645
3680,48.1996,15.1085
3681,48.2238,15.0675
3683,48.3104,15.0544
3684,48.264,15.0229
3691,48.2282,14.9887
3701,48.4762,15.9739
3702,48.4614,16.0554
3704,48.5017,15.9459
3710,48.5335,15.9558
3711,48.5224,15.8743
3712,48.5609,15.8083
3713,48.5914,15.7647
